local_time,date,year,month,hour,day_of_week,is_weekend,is_rush_hour,season,aqi,co,no2,o3,pm10,pm25,so2,clouds,precipitation,pressure,relative_humidity,temperature,uv_index,wind_speed,aqi_category
2022-01-13 00:00:00,2022-01-13,2022,1,0,3,0,0,0,180,381.3,16.7,86.7,109.3,77.67,54.7,100,0.0,1019,93,17.0,0.0,1.22,Unhealthy
2022-01-13 01:00:00,2022-01-13,2022,1,1,3,0,0,0,181,389.8,17.0,87.0,111.0,79.0,59.0,100,0.0,1019,97,16.8,0.0,1.33,Unhealthy
2022-01-13 02:00:00,2022-01-13,2022,1,2,3,0,0,0,178,385.0,16.0,87.3,107.3,76.33,58.7,91,0.0,1019,97,16.4,0.0,1.44,Unhealthy
2022-01-13 03:00:00,2022-01-13,2022,1,3,3,0,0,0,174,380.1,15.0,87.7,103.7,73.67,58.3,83,0.0,1019,97,16.1,0.0,3.1,Unhealthy
2022-01-13 04:00:00,2022-01-13,2022,1,4,3,0,0,0,171,375.3,14.0,88.0,100.0,71.0,58.0,75,0.0,1018,97,15.7,0.0,1.66,Unhealthy
2022-01-13 05:00:00,2022-01-13,2022,1,5,3,0,0,0,170,367.9,12.7,86.7,99.3,70.33,56.0,83,0.0,1019,96,15.6,0.0,1.77,Unhealthy
2022-01-13 06:00:00,2022-01-13,2022,1,6,3,0,1,0,169,360.5,11.3,85.3,98.7,69.67,54.0,91,0.0,1020,96,15.6,0.0,1.88,Unhealthy
2022-01-13 07:00:00,2022-01-13,2022,1,7,3,0,1,0,168,353.1,10.0,84.0,98.0,69.0,52.0,100,0.0,1020,95,15.5,0.6,2.0,Unhealthy
2022-01-13 08:00:00,2022-01-13,2022,1,8,3,0,1,0,166,343.5,9.0,87.3,95.7,67.67,48.7,91,0.0,1021,94,15.4,0.7,2.33,Unhealthy
2022-01-13 09:00:00,2022-01-13,2022,1,9,3,0,1,0,165,334.0,8.0,90.7,93.3,66.33,45.3,83,0.0,1022,93,15.3,1.0,2.66,Unhealthy
2022-01-13 10:00:00,2022-01-13,2022,1,10,3,0,0,0,163,324.5,7.0,94.0,91.0,65.0,42.0,75,0.25,1022,93,15.2,1.5,3.0,Unhealthy
2022-01-13 11:00:00,2022-01-13,2022,1,11,3,0,0,0,163,319.6,6.7,95.7,91.3,65.33,39.0,83,0.0,1021,87,15.6,1.9,3.0,Unhealthy
2022-01-13 12:00:00,2022-01-13,2022,1,12,3,0,0,0,164,314.8,6.3,97.3,91.7,65.67,36.0,91,0.0,1021,82,16.1,2.0,3.0,Unhealthy
2022-01-13 13:00:00,2022-01-13,2022,1,13,3,0,0,0,164,309.9,6.0,99.0,92.0,66.0,33.0,100,0.5,1020,77,16.5,1.9,3.0,Unhealthy
2022-01-13 14:00:00,2022-01-13,2022,1,14,3,0,0,0,164,307.6,6.3,98.7,91.7,65.67,31.7,100,0.0,1019,75,16.6,1.5,2.66,Unhealthy
2022-01-13 15:00:00,2022-01-13,2022,1,15,3,0,0,0,163,305.2,6.7,98.3,91.3,65.33,30.3,100,0.0,1019,73,16.6,1.1,2.33,Unhealthy
2022-01-13 16:00:00,2022-01-13,2022,1,16,3,0,0,0,163,302.9,7.0,98.0,91.0,65.0,29.0,100,0.0,1018,72,16.7,0.8,2.0,Unhealthy
2022-01-13 17:00:00,2022-01-13,2022,1,17,3,0,1,0,170,313.4,8.3,91.7,99.0,70.67,31.7,100,0.0,1019,73,16.6,0.7,2.0,Unhealthy
2022-01-13 18:00:00,2022-01-13,2022,1,18,3,0,1,0,178,323.9,9.7,85.3,107.0,76.33,34.3,100,0.0,1019,74,16.4,0.0,2.0,Unhealthy
2022-01-13 19:00:00,2022-01-13,2022,1,19,3,0,1,0,185,334.4,11.0,79.0,115.0,82.0,37.0,100,0.0,1019,76,16.3,0.0,2.0,Unhealthy
2022-01-13 20:00:00,2022-01-13,2022,1,20,3,0,1,0,195,351.7,13.7,74.3,124.7,89.0,43.7,100,0.0,1020,76,16.3,0.0,2.0,Unhealthy
2022-01-13 21:00:00,2022-01-13,2022,1,21,3,0,0,0,204,369.0,16.3,69.7,134.3,96.0,50.3,100,0.0,1020,76,16.3,0.0,2.0,Very Unhealthy
2022-01-13 22:00:00,2022-01-13,2022,1,22,3,0,0,0,213,386.3,19.0,65.0,144.0,103.0,57.0,100,0.25,1020,76,16.3,0.0,2.0,Very Unhealthy
2022-01-13 23:00:00,2022-01-13,2022,1,23,3,0,0,0,225,416.5,21.7,61.0,156.7,112.0,65.3,100,0.0,1020,77,16.2,0.0,1.93,Very Unhealthy
2022-01-14 00:00:00,2022-01-14,2022,1,0,4,0,0,0,237,446.6,24.3,57.0,169.3,121.0,73.7,100,0.0,1019,77,16.0,0.0,1.86,Very Unhealthy
2022-01-14 01:00:00,2022-01-14,2022,1,1,4,0,0,0,249,476.8,27.0,53.0,182.0,130.0,82.0,100,0.0,1019,78,15.9,0.0,1.8,Very Unhealthy
2022-01-14 02:00:00,2022-01-14,2022,1,2,4,0,0,0,250,482.4,26.7,50.3,183.0,130.33,78.3,100,0.0,1019,79,15.7,0.0,1.73,Very Unhealthy
2022-01-14 03:00:00,2022-01-14,2022,1,3,4,0,0,0,250,488.1,26.3,47.7,184.0,130.67,74.7,100,0.0,1018,80,15.5,0.0,1.0,Very Unhealthy
2022-01-14 04:00:00,2022-01-14,2022,1,4,4,0,0,0,250,493.7,26.0,45.0,185.0,131.0,71.0,100,0.0,1018,81,15.3,0.0,2.6,Very Unhealthy
2022-01-14 05:00:00,2022-01-14,2022,1,5,4,0,0,0,237,488.9,25.3,42.0,170.0,120.67,65.3,79,0.0,1018,85,15.3,0.0,2.1,Very Unhealthy
2022-01-14 06:00:00,2022-01-14,2022,1,6,4,0,1,0,223,484.0,24.7,39.0,155.0,110.33,59.7,58,0.0,1019,89,15.4,0.0,2.1,Very Unhealthy
2022-01-14 07:00:00,2022-01-14,2022,1,7,4,0,1,0,209,479.1,24.0,36.0,140.0,100.0,54.0,37,0.0,1019,94,15.4,0.6,1.5,Very Unhealthy
2022-01-14 08:00:00,2022-01-14,2022,1,8,4,0,1,0,196,445.5,19.7,44.7,126.7,90.33,50.0,58,0.0,1019,91,15.8,0.7,1.5,Unhealthy
2022-01-14 09:00:00,2022-01-14,2022,1,9,4,0,1,0,184,411.8,15.3,53.3,113.3,80.67,46.0,79,0.0,1020,88,16.3,1.1,2.6,Unhealthy
2022-01-14 10:00:00,2022-01-14,2022,1,10,4,0,0,0,171,378.2,11.0,62.0,100.0,71.0,42.0,100,0.0,1020,86,16.7,1.5,1.2,Unhealthy
2022-01-14 11:00:00,2022-01-14,2022,1,11,4,0,0,0,162,363.8,9.3,71.0,91.3,64.67,37.3,100,0.0,1019,85,17.0,2.0,1.13,Unhealthy
