local_time,date,year,month,hour,day_of_week,is_weekend,is_rush_hour,season,aqi,co,no2,o3,pm10,pm25,so2,clouds,precipitation,pressure,relative_humidity,temperature,uv_index,wind_speed,aqi_category,aqi_label,pred_aqi
2025-01-01 00:00:00,2025-01-01,2025,1,0,2,0,0,0,205,1500.0,8.0,2.2,174.0,155.0,32.0,37,0.0,1018,95,13.6,0.0,1.6,Very Unhealthy,2,208.61246
2025-01-01 01:00:00,2025-01-01,2025,1,1,2,0,0,0,227,416.1,37.0,20.0,113.0,113.0,106.0,37,0.0,1018,96,13.2,0.0,1.6,Very Unhealthy,2,228.0836
2025-01-01 02:00:00,2025-01-01,2025,1,2,2,0,0,0,227,418.6,36.3,16.0,114.0,113.67,93.7,0,0.0,1017,96,13.1,0.0,2.0,Very Unhealthy,2,228.0836
2025-01-01 03:00:00,2025-01-01,2025,1,3,2,0,0,0,228,421.2,35.7,12.0,115.0,114.33,81.3,0,0.0,1017,96,12.9,0.0,2.0,Very Unhealthy,2,228.0836
2025-01-01 04:00:00,2025-01-01,2025,1,4,2,0,0,0,229,423.7,35.0,8.0,116.0,115.0,69.0,0,0.0,1017,97,12.8,0.0,1.6,Very Unhealthy,2,228.0836
2025-01-01 05:00:00,2025-01-01,2025,1,5,2,0,0,0,246,447.0,37.7,7.7,128.3,127.67,69.7,0,0.0,1016,93,12.0,0.0,1.0,Very Unhealthy,2,246.3226
2025-01-01 06:00:00,2025-01-01,2025,1,6,2,0,1,0,263,470.4,40.3,7.3,140.7,140.33,70.3,0,0.0,1016,93,13.0,0.0,1.0,Very Unhealthy,2,263.19547
2025-01-01 07:00:00,2025-01-01,2025,1,7,2,0,1,0,203,493.7,43.0,7.0,153.0,153.0,71.0,0,0.0,1018,97,13.2,0.6,0.8,Very Unhealthy,2,201.67729
2025-01-01 08:00:00,2025-01-01,2025,1,8,2,0,1,0,240,1310.0,15.0,2.2,216.0,190.0,32.0,0,0.0,1018,89,15.1,2.2,0.8,Very Unhealthy,2,231.70085
2025-01-01 09:00:00,2025-01-01,2025,1,9,2,0,1,0,237,1310.0,15.0,3.2,216.0,187.0,32.0,0,0.0,1018,81,16.9,3.3,1.2,Very Unhealthy,2,232.9201
2025-01-01 10:00:00,2025-01-01,2025,1,10,2,0,0,0,233,1310.0,15.0,10.8,216.0,183.0,32.0,0,0.0,1019,75,18.8,4.6,1.2,Very Unhealthy,2,232.52834
2025-01-01 11:00:00,2025-01-01,2025,1,11,2,0,0,0,224,1175.7,15.0,15.5,210.7,174.0,32.0,0,0.0,1017,61,20.5,5.8,0.8,Very Unhealthy,2,220.94197
2025-01-01 12:00:00,2025-01-01,2025,1,12,2,0,0,0,219,806.0,15.0,27.0,210.0,169.0,32.0,0,0.0,1016,51,22.1,6.3,0.4,Very Unhealthy,2,219.03467
2025-01-01 13:00:00,2025-01-01,2025,1,13,2,0,0,0,206,907.0,15.0,24.9,200.0,156.0,32.0,0,0.0,1015,42,23.8,5.8,0.0,Very Unhealthy,2,220.70288
2025-01-01 14:00:00,2025-01-01,2025,1,14,2,0,0,0,256,605.0,8.0,34.6,174.0,135.0,32.0,0,0.0,1014,44,23.9,4.7,0.66,Very Unhealthy,2,258.947
2025-01-01 15:00:00,2025-01-01,2025,1,15,2,0,0,0,256,806.0,8.0,34.6,142.0,135.0,26.0,0,0.0,1013,45,24.0,3.3,1.33,Very Unhealthy,2,257.6028
2025-01-01 16:00:00,2025-01-01,2025,1,16,2,0,0,0,179,222.4,14.0,174.0,77.0,77.0,193.0,0,0.0,1013,47,24.1,2.3,2.0,Unhealthy,1,179.32257
2025-01-01 17:00:00,2025-01-01,2025,1,17,2,0,1,0,200,907.0,15.0,27.0,124.0,93.0,26.0,0,0.0,1013,53,22.3,2.0,1.33,Unhealthy,1,199.82594
2025-01-01 18:00:00,2025-01-01,2025,1,18,2,0,1,0,255,331.3,31.3,116.7,134.3,134.33,177.7,0,0.0,1013,60,20.6,0.0,0.66,Very Unhealthy,2,253.6649
2025-01-01 19:00:00,2025-01-01,2025,1,19,2,0,1,0,213,385.8,40.0,88.0,163.0,163.0,170.0,0,0.0,1014,67,18.8,0.0,2.0,Very Unhealthy,2,208.87524
2025-01-01 20:00:00,2025-01-01,2025,1,20,2,0,1,0,272,364.2,34.0,87.0,147.0,147.0,146.3,0,0.0,1015,71,18.6,0.0,1.0,Very Unhealthy,2,269.57425
2025-01-01 21:00:00,2025-01-01,2025,1,21,2,0,0,0,250,342.6,28.0,86.0,131.0,131.0,122.7,0,0.0,1015,75,18.4,0.0,2.0,Very Unhealthy,2,251.71999
2025-01-01 22:00:00,2025-01-01,2025,1,22,2,0,0,0,229,321.0,22.0,85.0,115.0,115.0,99.0,0,0.0,1016,80,18.2,0.0,3.0,Very Unhealthy,2,228.10788
2025-01-01 23:00:00,2025-01-01,2025,1,23,2,0,0,0,222,323.5,20.7,83.0,109.7,109.67,92.7,0,0.0,1016,83,17.8,0.0,2.0,Very Unhealthy,2,223.73895
2025-01-02 00:00:00,2025-01-02,2025,1,0,3,0,0,0,215,326.0,19.3,81.0,104.3,104.33,86.3,0,0.0,1016,86,17.3,0.0,1.0,Very Unhealthy,2,215.8406
2025-01-02 01:00:00,2025-01-02,2025,1,1,3,0,0,0,208,328.6,18.0,79.0,99.0,99.0,80.0,0,0.0,1016,90,16.9,0.0,1.6,Very Unhealthy,2,207.41081
2025-01-02 02:00:00,2025-01-02,2025,1,2,3,0,0,0,223,352.7,19.7,66.7,110.3,110.0,79.0,0,0.0,1016,92,16.3,0.0,1.2,Very Unhealthy,2,223.741
2025-01-02 03:00:00,2025-01-02,2025,1,3,3,0,0,0,237,376.8,21.3,54.3,121.7,121.0,78.0,0,0.0,1016,93,15.8,0.0,1.6,Very Unhealthy,2,236.32294
2025-01-02 04:00:00,2025-01-02,2025,1,4,3,0,0,0,252,400.9,23.0,42.0,133.0,132.0,77.0,0,0.0,1016,95,15.2,0.0,1.6,Very Unhealthy,2,252.33723
2025-01-02 05:00:00,2025-01-02,2025,1,5,3,0,0,0,208,536.0,20.3,28.7,174.0,158.0,62.0,0,0.0,1017,95,15.1,0.0,1.2,Very Unhealthy,2,207.78601
2025-01-02 06:00:00,2025-01-02,2025,1,6,3,0,1,0,234,671.0,17.7,15.4,215.0,184.0,47.0,0,0.0,1017,95,14.9,0.0,1.2,Very Unhealthy,2,231.31282
2025-01-02 07:00:00,2025-01-02,2025,1,7,3,0,1,0,260,806.0,15.0,2.2,256.0,210.0,32.0,87,0.0,1018,95,14.8,0.9,0.8,Very Unhealthy,2,247.62419
2025-01-02 08:00:00,2025-01-02,2025,1,8,3,0,1,0,262,1109.0,15.0,2.2,258.0,212.0,32.0,87,0.0,1018,85,16.9,1.3,0.4,Very Unhealthy,2,249.50081
2025-01-02 09:00:00,2025-01-02,2025,1,9,3,0,1,0,262,1411.0,15.0,7.6,262.0,212.0,32.0,87,0.0,1019,76,19.1,3.1,0.8,Very Unhealthy,2,247.73743
2025-01-02 10:00:00,2025-01-02,2025,1,10,3,0,0,0,197,249.2,12.0,151.0,91.0,91.0,184.0,87,0.0,1019,68,21.2,4.3,0.8,Unhealthy,1,196.99648
2025-01-02 11:00:00,2025-01-02,2025,1,11,3,0,0,0,256,907.0,8.0,25.9,248.0,206.0,32.0,87,0.0,1018,60,22.3,5.4,0.8,Very Unhealthy,2,248.7724
2025-01-02 12:00:00,2025-01-02,2025,1,12,3,0,0,0,231,907.0,15.0,33.5,216.0,181.0,32.0,87,0.0,1017,52,23.5,6.0,0.4,Very Unhealthy,2,231.77602
2025-01-02 13:00:00,2025-01-02,2025,1,13,3,0,0,0,165,200.8,7.0,203.0,68.0,67.0,167.0,87,0.0,1016,45,24.6,5.7,0.4,Unhealthy,1,164.915
2025-01-02 14:00:00,2025-01-02,2025,1,14,3,0,0,0,166,199.6,8.3,195.7,68.7,67.67,153.3,83,0.0,1016,45,24.6,4.5,0.33,Unhealthy,1,167.0089
2025-01-02 15:00:00,2025-01-02,2025,1,15,3,0,0,0,167,198.4,9.7,188.3,69.3,68.33,139.7,79,0.0,1015,45,24.5,3.2,0.66,Unhealthy,1,167.02473
2025-01-02 16:00:00,2025-01-02,2025,1,16,3,0,0,0,168,197.3,11.0,181.0,70.0,69.0,126.0,75,0.0,1015,45,24.5,2.3,1.0,Unhealthy,1,167.97978
2025-01-02 17:00:00,2025-01-02,2025,1,17,3,0,1,0,202,702.8,12.3,122.5,100.7,94.67,94.7,79,0.0,1016,51,22.9,1.9,0.66,Very Unhealthy,2,202.079
2025-01-02 18:00:00,2025-01-02,2025,1,18,3,0,1,0,211,1411.0,15.0,15.1,124.0,101.0,32.0,83,0.0,1016,58,21.3,0.0,0.33,Very Unhealthy,2,210.2078
2025-01-02 19:00:00,2025-01-02,2025,1,19,3,0,1,0,270,1500.0,15.0,5.4,162.0,146.0,32.0,87,0.0,1017,66,19.7,0.0,2.4,Very Unhealthy,2,268.74646
2025-01-02 20:00:00,2025-01-02,2025,1,20,3,0,1,0,236,1500.0,8.0,1.1,212.0,186.0,32.0,87,0.0,1017,68,19.6,0.0,1.2,Very Unhealthy,2,232.18591
2025-01-02 21:00:00,2025-01-02,2025,1,21,3,0,0,0,240,1500.0,15.0,2.5,215.3,190.0,32.0,87,0.0,1018,69,19.5,0.0,0.4,Very Unhealthy,2,231.78607
2025-01-02 22:00:00,2025-01-02,2025,1,22,3,0,0,0,262,1500.0,15.0,1.1,242.0,212.0,32.0,87,0.0,1019,71,19.4,0.0,1.2,Very Unhealthy,2,249.91042
2025-01-02 23:00:00,2025-01-02,2025,1,23,3,0,0,0,221,1210.0,15.0,2.2,246.0,212.0,32.0,91,0.0,1019,74,18.9,0.0,1.6,Very Unhealthy,2,247.17017
2025-01-03 00:00:00,2025-01-03,2025,1,0,4,0,0,0,234,1210.0,8.0,3.2,216.0,184.0,32.0,95,0.0,1019,77,18.5,0.0,1.2,Very Unhealthy,2,231.85269
2025-01-03 01:00:00,2025-01-03,2025,1,1,4,0,0,0,208,1210.0,15.0,5.4,192.0,158.0,32.0,100,0.0,1019,80,18.0,0.0,1.2,Very Unhealthy,2,218.18532
2025-01-03 02:00:00,2025-01-03,2025,1,2,4,0,0,0,261,1210.0,15.0,3.2,174.0,139.0,32.0,79,0.0,1019,82,17.3,0.0,1.6,Very Unhealthy,2,263.82855
2025-01-03 03:00:00,2025-01-03,2025,1,3,4,0,0,0,261,1142.7,15.0,3.2,174.7,138.67,32.0,58,0.0,1019,85,16.5,0.0,1.6,Very Unhealthy,2,257.21884
2025-01-03 04:00:00,2025-01-03,2025,1,4,4,0,0,0,248,1109.0,15.0,2.2,166.0,129.0,32.0,37,0.0,1019,89,15.8,0.0,2.0,Very Unhealthy,2,246.60254
2025-01-03 05:00:00,2025-01-03,2025,1,5,4,0,0,0,255,1142.7,15.0,2.2,169.3,134.67,32.0,33,0.0,1019,90,15.6,0.0,1.6,Very Unhealthy,2,251.9538
2025-01-03 06:00:00,2025-01-03,2025,1,6,4,0,1,0,263,1176.3,15.0,2.2,172.7,140.33,32.0,29,0.0,1020,92,15.4,0.0,2.0,Very Unhealthy,2,263.1902
2025-01-03 07:00:00,2025-01-03,2025,1,7,4,0,1,0,270,1210.0,15.0,2.2,176.0,146.0,32.0,25,0.0,1021,94,15.2,1.8,2.4,Very Unhealthy,2,269.3787
2025-01-03 08:00:00,2025-01-03,2025,1,8,4,0,1,0,213,1411.0,8.0,2.2,196.0,163.0,32.0,26,0.0,1021,82,17.4,2.3,0.66,Very Unhealthy,2,211.39426
2025-01-03 09:00:00,2025-01-03,2025,1,9,4,0,1,0,216,1008.0,15.0,6.5,194.7,165.33,32.0,28,0.0,1021,72,19.6,3.3,1.33,Very Unhealthy,2,220.92769
2025-01-03 10:00:00,2025-01-03,2025,1,10,4,0,0,0,225,907.0,15.0,8.6,204.0,175.0,32.0,29,0.0,1022,63,21.8,4.7,2.0,Very Unhealthy,2,223.00229
2025-01-03 11:00:00,2025-01-03,2025,1,11,4,0,0,0,218,806.0,15.0,25.9,194.0,168.0,32.0,31,0.0,1020,54,22.9,5.9,1.66,Very Unhealthy,2,219.12584
